chromosome	start	end	strand	C%+G%	Obs/Exp	len	gene_id
chr1	transcript	1591627	1592243	+	53.73	0.77	34.0	RP11-345P4.10
chr1	gene	1656916	1657908	+	53.73	0.72	51.0	RP1-283E3.4
chr1	transcript	1656916	1657908	+	53.73	0.72	51.0	RP1-283E3.4
chr1	gene	1664682	1665201	+	56.26	0.67	27.0	RP1-283E3.4
chr1	transcript	1664682	1665201	+	56.26	0.67	27.0	RP1-283E3.4
chr1	gene	1666574	1667112	+	52.23	0.65	24.0	RP1-283E3.4
chr1	transcript	1666574	1667112	+	52.23	0.65	24.0	RP1-283E3.4
chr1	gene	1959307	1959904	+	66.67	0.74	48.0	GABRD
chr1	transcript	1959307	1959904	+	66.67	0.74	48.0	GABRD
chr1	gene	1986003	1986634	+	55.63	0.87	42.0	PRKCZ
chr1	transcript	1986003	1986634	+	55.63	0.87	42.0	PRKCZ
chr1	gene	1998605	1999196	+	60.58	0.61	32.0	PRKCZ
chr1	transcript	1998605	1999196	+	60.58	0.61	32.0	PRKCZ
chr1	gene	2004743	2005911	+	64.98	0.62	76.0	PRKCZ
chr1	transcript	2004743	2005911	+	64.98	0.62	76.0	PRKCZ
chr1	gene	2015177	2015995	+	53.79	0.76	45.0	PRKCZ
chr1	transcript	2015177	2015995	+	53.79	0.76	45.0	PRKCZ
chr1	gene	2025589	2026245	+	69.21	0.77	60.0	PRKCZ
chr1	transcript	2025589	2026245	+	69.21	0.77	60.0	PRKCZ
chr1	gene	2045940	2046866	+	55.94	0.7	51.0	PRKCZ
chr1	transcript	2045940	2046866	+	55.94	0.7	51.0	PRKCZ
chr1	gene	2053090	2055845	+	60.8	1.29	188.0	PRKCZ
chr1	transcript	2053090	2055845	+	60.8	1.29	188.0	PRKCZ
chr1	gene	2063685	2065654	+	63.64	0.6	120.0	PRKCZ
chr1	transcript	2063685	2065654	+	63.64	0.6	120.0	PRKCZ
chr1	gene	2102953	2103883	+	60.65	0.6	51.0	PRKCZ
chr1	transcript	2102953	2103883	+	60.65	0.6	51.0	PRKCZ
chr1	gene	2107045	2107862	+	61.69	0.66	49.0	PRKCZ
chr1	transcript	2107045	2107862	+	61.69	0.66	49.0	PRKCZ
chr1	gene	2111616	2112666	+	63.05	0.61	63.0	PRKCZ
chr1	transcript	2111616	2112666	+	63.05	0.61	63.0	PRKCZ
chr1	gene	2206609	2207253	+	60.4	0.6	35.0	SKI
chr1	transcript	2206609	2207253	+	60.4	0.6	35.0	SKI
chr1	gene	2208826	2209516	+	55.07	0.64	32.0	SKI
chr1	transcript	2208826	2209516	+	55.07	0.64	32.0	SKI
chr1	gene	2211874	2214725	+	62.86	0.81	217.0	SKI
chr1	transcript	2211874	2214725	+	62.86	0.81	217.0	SKI
chr1	gene	2222176	2222722	+	57.51	0.71	32.0	SKI
chr1	transcript	2222176	2222722	+	57.51	0.71	32.0	SKI
chr1	gene	2236443	2238447	+	67.02	0.73	162.0	SKI
chr1	transcript	2236443	2238447	+	67.02	0.73	162.0	SKI
chr1	gene	2238586	2239428	+	56.65	0.81	54.0	SKI
chr1	transcript	2238586	2239428	+	56.65	0.81	54.0	SKI
chr1	exon	2238586	2239428	+	56.65	0.81	54.0	SKI
chr1	UTR	2238586	2239428	+	56.65	0.81	54.0	SKI
chr1	gene	2333551	2334588	+	60.95	0.6	57.0	RER1
chr1	transcript	2333551	2334588	+	60.95	0.6	57.0	RER1
chr1	gene	2374782	2375963	+	75.78	0.79	133.0	PLCH2
chr1	transcript	2374782	2375963	+	75.78	0.79	133.0	PLCH2
chr1	gene	2989949	2990827	+	67.65	0.87	87.0	PRDM16
chr1	transcript	2989949	2990827	+	67.65	0.87	87.0	PRDM16
chr1	gene	2995028	2995883	+	56.73	0.6	41.0	PRDM16
chr1	transcript	2995028	2995883	+	56.73	0.6	41.0	PRDM16
chr1	gene	3028018	3028579	+	62.57	0.68	36.0	PRDM16
chr1	transcript	3028018	3028579	+	62.57	0.68	36.0	PRDM16
chr1	gene	3030667	3031336	+	57.85	1.09	55.0	PRDM16
chr1	transcript	3030667	3031336	+	57.85	1.09	55.0	PRDM16
chr1	gene	3047175	3047714	+	56.59	0.63	27.0	PRDM16
chr1	transcript	3047175	3047714	+	56.59	0.63	27.0	PRDM16
chr1	gene	3056902	3057521	+	59.45	0.62	34.0	PRDM16
chr1	transcript	3056902	3057521	+	59.45	0.62	34.0	PRDM16
chr1	gene	3062208	3062849	+	61.0	0.64	38.0	PRDM16
chr1	transcript	3062208	3062849	+	61.0	0.64	38.0	PRDM16
chr1	gene	3063082	3064061	+	58.63	0.61	40.0	PRDM16
chr1	transcript	3063082	3064061	+	58.63	0.61	40.0	PRDM16
chr1	gene	3070337	3071016	+	53.31	0.68	33.0	PRDM16
chr1	transcript	3070337	3071016	+	53.31	0.68	33.0	PRDM16
chr1	gene	3071723	3072267	+	59.56	0.75	36.0	PRDM16
chr1	transcript	3071723	3072267	+	59.56	0.75	36.0	PRDM16
chr1	gene	3080650	3081576	+	57.88	0.72	55.0	PRDM16
chr1	transcript	3080650	3081576	+	57.88	0.72	55.0	PRDM16
chr1	gene	3086204	3086854	+	58.62	0.64	36.0	PRDM16
chr1	transcript	3086204	3086854	+	58.62	0.64	36.0	PRDM16
chr1	gene	3096809	3098477	+	54.08	0.89	104.0	PRDM16
chr1	transcript	3096809	3098477	+	54.08	0.89	104.0	PRDM16
chr1	gene	3100099	3100727	+	55.25	0.71	34.0	PRDM16
chr1	transcript	3100099	3100727	+	55.25	0.71	34.0	PRDM16
chr1	gene	3102502	3103496	+	62.88	0.63	62.0	PRDM16
chr1	transcript	3102502	3103496	+	62.88	0.63	62.0	PRDM16
chr1	gene	3111119	3111910	+	64.22	0.74	59.0	PRDM16
chr1	transcript	3111119	3111910	+	64.22	0.74	59.0	PRDM16
chr1	gene	3121072	3121935	+	59.56	0.6	45.0	PRDM16
chr1	transcript	3121072	3121935	+	59.56	0.6	45.0	PRDM16
chr1	gene	3139569	3140107	+	51.67	0.61	22.0	PRDM16
chr1	transcript	3139569	3140107	+	51.67	0.61	22.0	PRDM16
chr1	gene	3143636	3144282	+	59.44	0.6	34.0	PRDM16
chr1	transcript	3143636	3144282	+	59.44	0.6	34.0	PRDM16
chr1	gene	3160661	3161229	+	54.75	0.69	29.0	PRDM16
chr1	transcript	3160661	3161229	+	54.75	0.69	29.0	PRDM16
chr1	gene	3163970	3164644	+	67.8	0.84	65.0	PRDM16
chr1	transcript	3163970	3164644	+	67.8	0.84	65.0	PRDM16
chr1	gene	3182785	3183545	+	58.95	0.76	50.0	PRDM16
chr1	transcript	3182785	3183545	+	58.95	0.76	50.0	PRDM16
chr1	gene	3183898	3185073	+	59.74	0.63	66.0	PRDM16
chr1	transcript	3183898	3185073	+	59.74	0.63	66.0	PRDM16
chr1	gene	3195060	3195572	+	63.48	0.61	31.0	PRDM16
chr1	transcript	3195060	3195572	+	63.48	0.61	31.0	PRDM16
chr1	gene	3203692	3204518	+	67.68	0.72	68.0	PRDM16
chr1	transcript	3203692	3204518	+	67.68	0.72	68.0	PRDM16
chr1	gene	3229449	3230041	+	61.49	0.7	39.0	PRDM16
chr1	transcript	3229449	3230041	+	61.49	0.7	39.0	PRDM16
chr1	gene	3276281	3276827	+	56.59	0.71	31.0	PRDM16
chr1	transcript	3276281	3276827	+	56.59	0.71	31.0	PRDM16
chr1	gene	3282413	3283075	+	59.97	0.66	39.0	PRDM16
chr1	transcript	3282413	3283075	+	59.97	0.66	39.0	PRDM16
chr1	gene	3309742	3311348	+	66.75	0.68	121.0	PRDM16
chr1	transcript	3309742	3311348	+	66.75	0.68	121.0	PRDM16
chr1	gene	3325247	3326251	+	58.96	0.83	61.0	PRDM16
chr1	transcript	3325247	3326251	+	58.96	0.83	61.0	PRDM16
chr1	gene	3327536	3329671	+	64.4	0.62	135.0	PRDM16
chr1	transcript	3327536	3329671	+	64.4	0.62	135.0	PRDM16
chr1	gene	3579746	3580248	+	55.18	0.64	24.0	TP73
chr1	transcript	3579746	3580248	+	55.18	0.64	24.0	TP73
chr1	gene	3589632	3590240	+	58.06	0.61	31.0	TP73
chr1	transcript	3589632	3590240	+	58.06	0.61	31.0	TP73
chr1	gene	3649295	3649973	+	69.47	0.6	49.0	TP73
chr1	transcript	3649295	3649973	+	69.47	0.6	49.0	TP73
chr1	gene	3672998	3673508	+	59.41	0.62	28.0	CCDC27
chr1	transcript	3672998	3673508	+	59.41	0.62	28.0	CCDC27
chr1	gene	3790633	3791612	+	55.77	0.79	60.0	DFFB
chr1	transcript	3790633	3791612	+	55.77	0.79	60.0	DFFB
chr1	gene	4726493	4727088	+	65.04	0.68	34.0	AJAP1
chr1	transcript	4726493	4727088	+	65.04	0.68	34.0	AJAP1
chr1	gene	4832215	4833055	+	57.02	0.65	44.0	AJAP1
chr1	transcript	4832215	4833055	+	57.02	0.65	44.0	AJAP1
chr1	gene	6131508	6132070	+	67.97	0.6	39.0	KCNAB2
chr1	transcript	6131508	6132070	+	67.97	0.6	39.0	KCNAB2
chr1	gene	6265591	6267192	+	66.58	0.7	124.0	RNF207
chr1	transcript	6265591	6267192	+	66.58	0.7	124.0	RNF207
chr1	gene	6268312	6269637	+	65.74	0.85	122.0	RNF207
chr1	transcript	6268312	6269637	+	65.74	0.85	122.0	RNF207
chr1	gene	6276416	6277016	+	56.0	0.67	31.0	RNF207
chr1	transcript	6276416	6277016	+	56.0	0.67	31.0	RNF207
chr1	gene	6500169	6501254	+	72.72	0.78	112.0	ESPN
chr1	transcript	6500169	6501254	+	72.72	0.78	112.0	ESPN
chr1	gene	6507074	6509359	+	71.82	0.67	197.0	ESPN
chr1	transcript	6507074	6509359	+	71.82	0.67	197.0	ESPN
chr1	gene	6514109	6516795	+	69.17	0.82	263.0	ESPN
chr1	transcript	6514109	6516795	+	69.17	0.82	263.0	ESPN
chr1	gene	6618703	6619250	+	55.39	0.63	26.0	TAS1R1
chr1	transcript	6618703	6619250	+	55.39	0.63	26.0	TAS1R1
chr1	gene	6633473	6633976	+	50.89	0.83	27.0	TAS1R1
chr1	transcript	6633473	6633976	+	50.89	0.83	27.0	TAS1R1
chr1	gene	6677201	6677769	+	52.11	0.6	23.0	PHF13
chr1	transcript	6677201	6677769	+	52.11	0.6	23.0	PHF13
chr1	gene	7023259	7023866	+	65.9	0.61	39.0	CAMTA1
chr1	transcript	7023259	7023866	+	65.9	0.61	39.0	CAMTA1
chr1	gene	7122520	7123519	+	56.56	0.61	49.0	CAMTA1
chr1	transcript	7122520	7123519	+	56.56	0.61	49.0	CAMTA1
chr1	gene	7318812	7319413	+	53.24	0.64	27.0	CAMTA1
chr1	transcript	7318812	7319413	+	53.24	0.64	27.0	CAMTA1
chr1	gene	7740144	7741177	+	72.22	0.86	116.0	CAMTA1
chr1	transcript	7740144	7741177	+	72.22	0.86	116.0	CAMTA1
chr1	gene	7763827	7766081	+	75.38	1.0	313.0	CAMTA1
chr1	transcript	7763827	7766081	+	75.38	1.0	313.0	CAMTA1
chr1	gene	7796198	7796717	+	54.34	0.63	24.0	CAMTA1
chr1	transcript	7796198	7796717	+	54.34	0.63	24.0	CAMTA1
chr1	gene	7801253	7801785	+	52.63	0.64	23.0	CAMTA1
chr1	transcript	7801253	7801785	+	52.63	0.64	23.0	CAMTA1
chr1	gene	7887199	7887771	+	62.24	0.65	35.0	PER3
chr1	transcript	7887199	7887771	+	62.24	0.65	35.0	PER3
chr1	exon	7887199	7887771	+	62.24	0.65	35.0	PER3
chr1	CDS	7887199	7887771	+	62.24	0.65	35.0	PER3
chr1	gene	8021302	8022227	+	65.95	0.92	91.0	PARK7
chr1	transcript	8021302	8022227	+	65.95	0.92	91.0	PARK7
chr1	gene	8270350	8270873	+	51.63	0.6	21.0	RP11-431K24.3
chr1	transcript	8270350	8270873	+	51.63	0.6	21.0	RP11-431K24.3
chr1	gene	8390203	8391043	+	65.0	0.62	55.0	SLC45A1
chr1	transcript	8390203	8391043	+	65.0	0.62	55.0	SLC45A1
chr1	gene	8391842	8392455	+	53.83	0.68	30.0	SLC45A1
chr1	transcript	8391842	8392455	+	53.83	0.68	30.0	SLC45A1
chr1	gene	9317852	9318383	+	54.43	0.77	29.0	H6PD
chr1	transcript	9317852	9318383	+	54.43	0.77	29.0	H6PD
chr1	gene	9416127	9416646	+	58.77	0.74	33.0	SPSB1
chr1	transcript	9416127	9416646	+	58.77	0.74	33.0	SPSB1
chr1	gene	9427448	9427956	+	62.4	0.67	32.0	SPSB1
chr1	transcript	9427448	9427956	+	62.4	0.67	32.0	SPSB1
chr1	gene	9601077	9601647	+	57.37	0.62	29.0	SLC25A33
chr1	transcript	9601077	9601647	+	57.37	0.62	29.0	SLC25A33
chr1	gene	9622678	9623283	+	50.25	0.63	24.0	SLC25A33
chr1	transcript	9622678	9623283	+	50.25	0.63	24.0	SLC25A33
chr1	gene	9663849	9664397	+	59.12	0.61	29.0	TMEM201
chr1	transcript	9663849	9664397	+	59.12	0.61	29.0	TMEM201
chr1	exon	9663849	9664397	+	59.12	0.61	29.0	TMEM201
chr1	UTR	9663849	9664397	+	59.12	0.61	29.0	TMEM201
chr1	gene	9749108	9750510	+	69.26	0.75	125.0	PIK3CD
chr1	transcript	9749108	9750510	+	69.26	0.75	125.0	PIK3CD
chr1	gene	9775581	9776159	+	66.09	0.64	40.0	PIK3CD
chr1	transcript	9775581	9776159	+	66.09	0.64	40.0	PIK3CD
chr1	gene	10095477	10096103	+	55.11	0.82	39.0	UBE4B
chr1	transcript	10095477	10096103	+	55.11	0.82	39.0	UBE4B
chr1	gene	10304402	10305011	+	56.65	0.69	33.0	KIF1B
chr1	transcript	10304402	10305011	+	56.65	0.69	33.0	KIF1B
chr1	gene	10534490	10535805	+	60.23	0.6	71.0	PEX14
chr1	transcript	10534490	10535805	+	60.23	0.6	71.0	PEX14
chr1	gene	11072599	11073656	+	62.16	0.83	85.0	TARDBP
chr1	transcript	11072599	11073656	+	62.16	0.83	85.0	TARDBP
chr1	gene	11334304	11334825	+	51.82	0.72	25.0	UBIAD1
chr1	transcript	11334304	11334825	+	51.82	0.72	25.0	UBIAD1
chr1	gene	11561188	11562175	+	65.15	0.83	86.0	PTCHD2
chr1	transcript	11561188	11562175	+	65.15	0.83	86.0	PTCHD2
chr1	gene	11725170	11725913	+	55.85	0.7	40.0	FBXO6
chr1	transcript	11725170	11725913	+	55.85	0.7	40.0	FBXO6
chr1	gene	11779050	11780606	+	55.53	0.62	74.0	DRAXIN
chr1	transcript	11779050	11780606	+	55.53	0.62	74.0	DRAXIN
chr1	gene	11897464	11898029	+	57.7	0.6	28.0	CLCN6
chr1	transcript	11897464	11898029	+	57.7	0.6	28.0	CLCN6
chr1	gene	12068272	12069370	+	66.48	0.61	73.0	MFN2
chr1	transcript	12068272	12069370	+	66.48	0.61	73.0	MFN2
chr1	gene	12083396	12084001	+	50.08	0.61	23.0	MIIP
chr1	transcript	12083396	12084001	+	50.08	0.61	23.0	MIIP
chr1	gene	12251335	12252012	+	69.42	0.77	57.0	TNFRSF1B
chr1	transcript	12251335	12252012	+	69.42	0.77	57.0	TNFRSF1B
chr1	gene	12257847	12258652	+	54.66	0.64	38.0	TNFRSF1B
chr1	transcript	12257847	12258652	+	54.66	0.64	38.0	TNFRSF1B
chr1	gene	13910138	13911271	+	63.72	0.67	76.0	PDPN
chr1	transcript	13910138	13911271	+	63.72	0.67	76.0	PDPN
chr1	gene	14075268	14076642	+	69.21	1.03	169.0	PRDM2
chr1	transcript	14075268	14076642	+	69.21	1.03	169.0	PRDM2
chr1	gene	15127529	15128583	+	54.36	0.6	47.0	KAZN
chr1	transcript	15127529	15128583	+	54.36	0.6	47.0	KAZN
chr1	gene	15250130	15251930	+	70.83	0.91	204.0	KAZN
chr1	transcript	15250130	15251930	+	70.83	0.91	204.0	KAZN
chr1	gene	15260412	15260998	+	53.92	0.66	28.0	KAZN
chr1	transcript	15260412	15260998	+	53.92	0.66	28.0	KAZN
chr1	gene	15283828	15284401	+	61.26	0.64	33.0	KAZN
chr1	transcript	15283828	15284401	+	61.26	0.64	33.0	KAZN
chr1	gene	15328176	15328726	+	53.64	0.66	26.0	KAZN
chr1	transcript	15328176	15328726	+	53.64	0.66	26.0	KAZN
chr1	gene	15374976	15375613	+	59.97	0.76	43.0	KAZN
chr1	transcript	15374976	15375613	+	59.97	0.76	43.0	KAZN
chr1	gene	15744732	15745433	+	53.5	0.6	30.0	EFHD2
chr1	transcript	15744732	15745433	+	53.5	0.6	30.0	EFHD2
chr1	gene	15911070	15911727	+	72.75	0.76	66.0	DNAJC16
chr1	transcript	15911070	15911727	+	72.75	0.76	66.0	DNAJC16
chr1	gene	15914492	15915026	+	52.43	0.77	28.0	DNAJC16
chr1	transcript	15914492	15915026	+	52.43	0.77	28.0	DNAJC16
chr1	gene	15945638	15946246	+	55.1	0.81	37.0	DDI2
chr1	transcript	15945638	15946246	+	55.1	0.81	37.0	DDI2
chr1	gene	16013044	16013616	+	53.5	0.66	27.0	PLEKHM2
chr1	transcript	16013044	16013616	+	53.5	0.66	27.0	PLEKHM2
chr1	gene	16085072	16086062	+	75.25	0.79	109.0	FBLIM1
chr1	transcript	16085072	16086062	+	75.25	0.79	109.0	FBLIM1
chr1	gene	16110049	16110656	+	54.7	0.62	28.0	FBLIM1
chr1	transcript	16110049	16110656	+	54.7	0.62	28.0	FBLIM1
chr1	gene	16260691	16261253	+	60.14	0.65	33.0	SPEN
chr1	transcript	16260691	16261253	+	60.14	0.65	33.0	SPEN
chr1	exon	16260691	16261253	+	60.14	0.65	33.0	SPEN
chr1	CDS	16260691	16261253	+	60.14	0.65	33.0	SPEN
chr1	gene	16693479	16694568	+	62.63	0.72	76.0	SZRD1
chr1	transcript	16693479	16694568	+	62.63	0.72	76.0	SZRD1
chr1	gene	16715609	16716233	+	58.81	0.61	33.0	SZRD1
chr1	transcript	16715609	16716233	+	58.81	0.61	33.0	SZRD1
chr1	gene	16972869	16975265	+	64.61	0.66	165.0	MST1P2
chr1	transcript	16972869	16975265	+	64.61	0.66	165.0	MST1P2
chr1	gene	17075269	17076040	+	60.05	0.66	46.0	CROCC
chr1	transcript	17075269	17076040	+	60.05	0.66	46.0	CROCC
chr1	gene	17084961	17087401	+	63.93	0.64	159.0	CROCC
chr1	transcript	17084961	17087401	+	63.93	0.64	159.0	CROCC
chr1	gene	17186091	17186769	+	58.41	0.87	49.0	CROCC
chr1	transcript	17186091	17186769	+	58.41	0.87	49.0	CROCC
chr1	gene	17197408	17198923	+	60.0	0.65	88.0	CROCC
chr1	transcript	17197408	17198923	+	60.0	0.65	88.0	CROCC
chr1	gene	17199104	17200484	+	60.43	0.77	97.0	CROCC
chr1	transcript	17199104	17200484	+	60.43	0.77	97.0	CROCC
chr1	gene	17199104	17200484	+	60.43	0.77	97.0	U1
chr1	transcript	17199104	17200484	+	60.43	0.77	97.0	U1
chr1	gene	17200710	17201307	+	52.6	0.64	26.0	CROCC
chr1	transcript	17200710	17201307	+	52.6	0.64	26.0	CROCC
chr1	gene	17201420	17202122	+	55.13	0.69	37.0	CROCC
chr1	transcript	17201420	17202122	+	55.13	0.69	37.0	CROCC
chr1	gene	17215324	17216246	+	61.93	0.74	65.0	CROCC
chr1	transcript	17215324	17216246	+	61.93	0.74	65.0	CROCC
chr1	gene	17221973	17222845	+	53.56	0.76	46.0	CROCC
chr1	transcript	17221973	17222845	+	53.56	0.76	46.0	CROCC
chr1	gene	17231147	17231681	+	60.11	0.74	33.0	CROCC
chr1	transcript	17231147	17231681	+	60.11	0.74	33.0	CROCC
chr1	gene	17240011	17241297	+	70.84	0.86	139.0	CROCC
chr1	transcript	17240011	17241297	+	70.84	0.86	139.0	CROCC
chr1	gene	17265236	17265848	+	69.44	0.61	45.0	CROCC
chr1	transcript	17265236	17265848	+	69.44	0.61	45.0	CROCC
chr1	gene	17278349	17278976	+	52.15	0.61	26.0	CROCC
chr1	transcript	17278349	17278976	+	52.15	0.61	26.0	CROCC
chr1	gene	17287092	17288062	+	65.26	0.62	64.0	CROCC
chr1	transcript	17287092	17288062	+	65.26	0.62	64.0	CROCC
chr1	gene	17306169	17307364	+	70.38	0.68	99.0	RP1-37C10.3
chr1	transcript	17306169	17307364	+	70.38	0.68	99.0	RP1-37C10.3
chr1	gene	17567655	17568471	+	53.55	0.81	37.0	PADI1
chr1	transcript	17567655	17568471	+	53.55	0.81	37.0	PADI1
chr1	gene	18435228	18435905	+	61.89	0.7	43.0	IGSF21
chr1	transcript	18435228	18435905	+	61.89	0.7	43.0	IGSF21
chr1	gene	18436401	18437889	+	66.06	0.67	109.0	IGSF21
chr1	transcript	18436401	18437889	+	66.06	0.67	109.0	IGSF21
chr1	gene	18807851	18809870	+	65.63	0.6	130.0	KLHDC7A
chr1	transcript	18807851	18809870	+	65.63	0.6	130.0	KLHDC7A
chr1	exon	18807851	18809870	+	65.63	0.6	130.0	KLHDC7A
chr1	gene	18959134	18959830	+	58.91	0.96	57.0	PAX7
chr1	transcript	18959134	18959830	+	58.91	0.96	57.0	PAX7
chr1	gene	18962674	18963988	+	59.74	0.75	88.0	PAX7
chr1	transcript	18962674	18963988	+	59.74	0.75	88.0	PAX7
chr1	gene	18966481	18967663	+	55.84	0.74	63.0	PAX7
chr1	transcript	18966481	18967663	+	55.84	0.74	63.0	PAX7
chr1	gene	18967767	18968468	+	56.21	0.77	41.0	PAX7
chr1	transcript	18967767	18968468	+	56.21	0.77	41.0	PAX7
chr1	gene	18969073	18970832	+	63.56	0.69	119.0	PAX7
chr1	transcript	18969073	18970832	+	63.56	0.69	119.0	PAX7
chr1	gene	18971635	18972164	+	63.14	0.81	42.0	PAX7
chr1	transcript	18971635	18972164	+	63.14	0.81	42.0	PAX7
chr1	gene	18972877	18973928	+	66.22	0.71	81.0	PAX7
chr1	transcript	18972877	18973928	+	66.22	0.71	81.0	PAX7
chr1	gene	19043333	19043895	+	73.84	0.89	68.0	PAX7
chr1	transcript	19043333	19043895	+	73.84	0.89	68.0	PAX7
chr1	gene	19054590	19055163	+	56.72	0.66	28.0	PAX7
chr1	transcript	19054590	19055163	+	56.72	0.66	28.0	PAX7
chr1	gene	19963557	19964140	+	54.89	0.65	28.0	MINOS1-NBL1
chr1	transcript	19963557	19964140	+	54.89	0.65	28.0	MINOS1-NBL1
chr1	gene	19970170	19972400	+	71.48	0.82	232.0	MINOS1-NBL1
chr1	transcript	19970170	19972400	+	71.48	0.82	232.0	MINOS1-NBL1
chr1	gene	19970170	19972400	+	71.48	0.82	232.0	NBL1
chr1	transcript	19970170	19972400	+	71.48	0.82	232.0	NBL1
chr1	gene	20669523	20670372	+	72.32	0.68	67.0	VWA5B1
chr1	transcript	20669523	20670372	+	72.32	0.68	67.0	VWA5B1
chr1	gene	21762834	21763505	+	67.51	0.6	46.0	CROCCP5
chr1	transcript	21762834	21763505	+	67.51	0.6	46.0	CROCCP5
chr1	gene	22140642	22141588	+	64.06	0.77	75.0	LDLRAD2
chr1	transcript	22140642	22141588	+	64.06	0.77	75.0	LDLRAD2
chr1	gene	22351797	22353021	+	55.64	0.68	64.0	LINC00339
chr1	transcript	22351797	22353021	+	55.64	0.68	64.0	LINC00339
chr1	gene	22902724	22903414	+	63.62	0.73	51.0	EPHA8
chr1	transcript	22902724	22903414	+	63.62	0.73	51.0	EPHA8
chr1	gene	22925091	22925594	+	60.04	0.6	27.0	EPHA8
chr1	transcript	22925091	22925594	+	60.04	0.6	27.0	EPHA8
chr1	gene	23107403	23107940	+	57.36	0.68	29.0	EPHB2
chr1	transcript	23107403	23107940	+	57.36	0.68	29.0	EPHB2
chr1	gene	23945942	23946606	+	66.57	0.75	55.0	MDS2
chr1	transcript	23945942	23946606	+	66.57	0.75	55.0	MDS2
chr1	gene	23954298	23955101	+	54.79	0.77	45.0	MDS2
chr1	transcript	23954298	23955101	+	54.79	0.77	45.0	MDS2
chr1	gene	23963404	23964140	+	54.76	0.6	33.0	MDS2
chr1	transcript	23963404	23964140	+	54.76	0.6	33.0	MDS2
chr1	gene	24648203	24649496	+	64.19	0.78	104.0	GRHL3
chr1	transcript	24648203	24649496	+	64.19	0.78	104.0	GRHL3
chr1	gene	24968417	24970725	+	62.39	0.86	192.0	SRRM1
chr1	transcript	24968417	24970725	+	62.39	0.86	192.0	SRRM1
chr1	gene	26146123	26147461	+	68.09	0.84	128.0	RP1-317E23.6
